experiment,duration,seeder,Cap2,time,infected
1,1,436,100,60,0
1,1,436,116,60,0
1,1,436,255,60,0
1,1,436,449,60,0
1,1,436,3008,60,0
1,1,436,3310,60,0
1,6,436,100,360,0
1,6,436,116,360,0
1,6,436,255,360,0
1,6,436,449,360,0
1,6,436,3008,360,0
1,6,436,3310,360,0
1,24,436,100,1440,0
1,24,436,116,1440,0
1,24,436,255,1440,0
1,24,436,449,1440,0
1,24,436,3008,1440,0
1,24,436,3310,1440,0
2,24,218,100,1440,0
2,24,218,116,1440,0
2,24,218,255,1440,0
2,24,218,376,1440,0
2,24,218,436,1440,0
2,24,218,742,1440,1
2,44,218,100,2640,0
2,44,218,116,2640,0
2,44,218,255,2640,1
2,44,218,376,2640,1
2,44,218,436,2640,1
2,44,218,742,2640,1
3,24,3837,100,1440,0
3,24,3837,116,1440,1
3,24,3837,218,1440,1
3,24,3837,255,1440,1
3,24,3837,436,1440,0
4,24,3837,255,1440,0
4,24,3837,376,1440,0
4,24,3837,436,1440,0
4,24,3837,742,1440,0
4,24,3837,2372,1440,0
4,24,3837,3008,1440,0
4,48,3837,255,2880,1
4,48,3837,376,2880,1
4,48,3837,436,2880,1
4,48,3837,742,2880,1
4,48,3837,3008,2880,0
5,24,3837,255,1440,1
5,24,3837,376,1440,0
5,24,3837,436,1440,0
5,24,3837,742,1440,0
5,24,3837,2372,1440,0
5,24,3837,3008,1440,0
5,48,3837,218,2880,1
5,48,3837,376,2880,1
5,48,3837,436,2880,1
5,48,3837,742,2880,0
5,48,3837,2372,2880,0
5,48,3837,3008,2880,1
